team,final_elo
DET,1650.2100560215515
KC,1637.4484151663828
PHI,1621.4385081201494
MIN,1620.959159804332
BUF,1592.5648781832556
BAL,1589.8266966723866
WAS,1577.7586684990806
LAC,1556.222357817887
GB,1551.779787368012
DEN,1542.7589439574585
SEA,1541.076103715492
LA,1540.647955621002
CIN,1530.4580139769564
TB,1527.6719070565025
HOU,1524.753392372141
PIT,1523.0472477277322
MIA,1487.3639242524525
IND,1485.7965313096786
ARI,1482.5263897015193
ATL,1471.8905715133733
DAL,1468.184790074322
SF,1437.598235268399
CAR,1431.4473477664276
NYJ,1429.0955020774334
CHI,1425.9947192174836
NO,1409.3112784762313
NE,1405.5184584154724
LV,1402.0656720777383
JAX,1399.078455691293
CLE,1387.1721232037166
NYG,1375.9410701960894
TEN,1372.392838678047
